id,utility_function,utility_threshold,privacy_threshold,transformation,outcome_type,solution_no,original_twct,original_avgw,perturbed_twct,perturbed_avgw,privacy_loss,time_found
2021-04-08-8,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,67275,35.55555555555556,,,,300
2021-04-08-9,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,65185,52.394366197183096,,,,300
2021-04-09-10,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,65100,35.1,,,,300
2021-04-09-11,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,32505,34.13793103448276,,,,300
2021-04-09-6,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,32565,0,,,,300
2021-04-09-7,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,53805,21.11111111111111,,,,300
2021-04-09-8,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,72045,48.81818181818182,,,,300
2021-04-09-9,calculate_avg_wait_time,0.005,0.01,PROCESSING_TIMES,timeout,,42630,20.48076923076923,,,,300
2021-04-05-10,calculate_avg_wait_time,0.005,0.5,MOVE,empty,1,64200,32.1,64200,32.1,0,0.011124610900878906
2021-04-05-10,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,64200,32.1,,,,300
2021-04-05-11,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,14700,1.7647058823529411,,,,300
2021-04-05-6,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,43380,21.666666666666668,,,,300
2021-04-05-7,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,52335,29.25,,,,300
2021-04-05-8,calculate_avg_wait_time,0.005,0.5,MOVE,empty,1,53725,55.3,53755,55.4,0,124.87209630012512
2021-04-05-8,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,53725,55.3,,,,300
2021-04-05-9,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,48075,25.363636363636363,,,,300
2021-04-06-10,calculate_avg_wait_time,0.005,0.5,MOVE,empty,1,58560,39.183673469387756,58560,39.183673469387756,0,0.039998531341552734
2021-04-06-10,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,58560,39.183673469387756,,,,300
2021-04-06-11,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,30630,45.51724137931034,,,,300
2021-04-06-6,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,54690,12.5,,,,300
2021-04-06-7,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,74205,47.785714285714285,,,,300
2021-04-06-8,calculate_avg_wait_time,0.005,0.5,MOVE,empty,1,83100,58.43283582089552,83100,58.43283582089552,0,0.030452251434326172
2021-04-06-8,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,83100,58.43283582089552,,,,300
2021-04-06-9,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,41820,21.6,,,,300
2021-04-07-10,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,62760,23.048780487804876,,,,300
2021-04-07-11,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,26325,23.076923076923077,,,,300
2021-04-07-6,calculate_avg_wait_time,0.005,0.5,MOVE,empty,1,43950,11.666666666666666,43950,11.666666666666666,0,0.004002571105957031
2021-04-07-6,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,43950,11.666666666666666,,,,300
2021-04-07-7,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,57075,33.214285714285715,,,,300
2021-04-07-8,calculate_avg_wait_time,0.005,0.5,MOVE,empty,1,58110,36.09375,58110,36.09375,0,0.06017422676086426
2021-04-07-8,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,58110,36.09375,,,,300
2021-04-07-9,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,59310,31.296296296296298,,,,300
2021-04-08-10,calculate_avg_wait_time,0.005,0.5,MOVE,empty,1,36840,7,36840,7,0,0.003008604049682617
2021-04-08-10,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,36840,7,,,,300
2021-04-08-11,calculate_avg_wait_time,0.005,0.5,MOVE,timeout,,18600,13.043478260869565,,,,300
